CaseID,Prefix length,Groud truth,Predicted,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
3087,2,§,§,1.0,1.0,1.0,256462,57368.484302516976,,199093.51569748303
3088,2,©ª©§,©§,0.5,0.5,0.6666666666666666,1888363,81642.392737673916,,1806720.6072623262
3089,2,ª§,§,0.5,0.5,0.5,520705,57684.145845574021,,463020.85415442596
3090,2,§,§,1.0,1.0,1.0,1800,43758.443891440373,,41958.443891440373
3091,2,§§,§,0.5,0.5,1.0,511776,42257.365116158755,,469518.63488384127
3092,2,§,§,1.0,1.0,1.0,8322,42205.92852045878,,33883.92852045878
3093,2,§,§,1.0,1.0,1.0,63707,43221.737061568325,,20485.262938431675
3094,2,§,§,1.0,1.0,1.0,1200770,42437.33728848039,,1158332.6627115195
3095,2,§,§,1.0,1.0,1.0,355,42430.558260091231,,42075.558260091231
3096,2,§,§,1.0,1.0,1.0,2073582,48169.551317424943,,2025412.448682575
3098,2,§,§,1.0,1.0,1.0,1834,42293.2942688517,,40459.2942688517
3099,2,ª§,§,0.5,0.5,0.5,967517,50941.336750317656,,916575.6632496824
3100,2,ª©§,§,0.33333333333333337,0.33333333333333337,0.33333333333333326,3024662,42229.792634663318,,2982432.2073653368
3101,2,§,§,1.0,1.0,1.0,3060,44360.946284411802,,41300.946284411802
3102,2,ª§,§,0.5,0.5,0.5,14445,45688.040072052536,,31243.040072052536
3104,2,§,§,1.0,1.0,1.0,603250,42272.848380731935,,560977.15161926812
3105,2,ª§,§,0.5,0.5,0.5,795902,42208.98104773165,,753693.01895226841
3106,2,§§,§,0.5,0.5,1.0,1468100,42438.911908984512,,1425661.0880910156
3107,2,§,§,1.0,1.0,1.0,101552,42265.062925033999,,59286.937074966001
3109,2,§,§,1.0,1.0,1.0,9496,43101.189435028042,,33605.189435028042
3110,2,ª§,§,0.5,0.5,0.5,1187727,57829.990158524131,,1129897.0098414759
3111,2,§,§,1.0,1.0,1.0,422936,42219.843209136299,,380716.15679086372
3114,2,©ª©§,§,0.25,0.25,0.33333333333333326,933457,42706.833134415567,,890750.16686558444
3115,2,ª§,§,0.5,0.5,0.5,3570313,43729.423726218498,,3526583.5762737817
3116,2,§,§,1.0,1.0,1.0,15,42323.952522966545,,42308.952522966545
3117,2,§,§,1.0,1.0,1.0,265,43447.436696898396,,43182.436696898396
3119,2,¢©§,©§,0.6666666666666667,0.6666666666666667,0.6666666666666666,196171,82190.409029976741,,113980.59097002326
3120,2,§,§,1.0,1.0,1.0,13,43284.954599159035,,43271.954599159035
3122,2,ª§,§,0.5,0.5,0.5,498082,45856.460997604954,,452225.53900239506
3123,2,§,§,1.0,1.0,1.0,19877,46768.223693273096,,26891.223693273096
3124,2,§,§,1.0,1.0,1.0,6364,42213.423834950583,,35849.423834950583
